window,min_ev,filter,max_ratio,kill_switch,is_roi,is_bets,is_pos,is_seasons,is_bk
sliding_3,0.05,solo_X[3.50-4.50),none,no,0.0234,161,5,8,1037.6
sliding_5,0.06,base+X[3.50-4.50),1.2,si,0.0233,281,5,8,1065.6
sliding_4,0.05,solo_X[3.50-4.50),1.25,no,0.0231,137,4,8,1031.7
sliding_4,0.06,base+X[3.50-4.50),1.2,si,0.0229,254,3,8,1058.2
sliding_4,0.05,base+X[3.70-4.50),1.2,si,0.0228,265,3,8,1060.3
sliding_5,0.07,base+X[3.50-4.50),none,si,0.0227,291,4,8,1066.2
sliding_3,0.04,base+X[3.70-4.50),1.15,si,0.0224,229,4,8,1051.4
expanding,0.06,base,1.25,no,0.0218,322,4,8,1070.3
sliding_4,0.03,solo_X[3.50-4.50),none,no,0.0218,196,4,8,1042.8
sliding_5,0.05,base+X[3.50-4.50),1.2,si,0.0218,304,5,8,1066.2
sliding_9,0.06,base,1.25,no,0.0218,322,4,8,1070.3
sliding_3,0.1,base+X[3.50-4.50),1.2,no,0.0215,211,5,8,1045.3
sliding_7,0.06,base,1.15,si,0.0211,167,5,8,1035.2
sliding_4,0.04,base+X[3.70-4.50),1.2,no,0.0209,385,3,8,1080.4
sliding_9,0.04,base,1.25,no,0.0209,382,5,8,1080.0
expanding,0.04,base,1.25,no,0.0209,382,5,8,1080.0
sliding_5,0.04,base+X[3.50-4.50),1.2,no,0.0206,462,5,8,1095.0
sliding_3,0.03,base+X[3.70-4.50),1.2,no,0.0205,411,4,8,1084.1
sliding_5,0.1,solo_X[3.50-4.50),1.2,si,0.0202,55,4,8,1011.1
sliding_5,0.1,solo_X[3.50-4.50),1.2,no,0.0202,55,4,8,1011.1
sliding_5,0.07,base+X[3.70-4.50),1.25,no,0.02,350,3,8,1069.9
sliding_4,0.03,solo_X[3.50-4.50),1.2,no,0.0199,173,4,8,1034.5
expanding,0.1,base,1.15,si,0.0198,101,4,8,1020.0
sliding_9,0.1,base,1.15,si,0.0198,101,4,8,1020.0
sliding_3,0.1,base+X[3.50-4.50),1.25,no,0.0198,260,5,8,1051.5
sliding_5,0.03,base+X[3.70-4.50),none,si,0.0193,351,4,8,1067.6
sliding_3,0.03,base+X[3.50-4.50),1.25,si,0.0192,383,4,8,1073.5
sliding_5,0.05,base+X[3.50-4.50),1.15,no,0.0191,310,5,8,1059.1
sliding_4,0.04,solo_X[3.50-4.50),1.25,no,0.0191,160,3,8,1030.5
sliding_5,0.07,base+X[3.70-4.50),none,no,0.0185,424,3,8,1078.5
sliding_3,0.07,solo_X[3.50-4.50),1.15,no,0.0185,78,5,8,1014.4
sliding_3,0.07,solo_X[3.50-4.50),1.15,si,0.0185,78,5,8,1014.4
sliding_5,0.07,base+X[3.50-4.50),1.2,no,0.0184,325,5,8,1059.8
sliding_9,0.03,base,1.2,si,0.0184,251,4,8,1046.1
expanding,0.03,base,1.2,si,0.0184,251,4,8,1046.1
